Code,Name,Close,Location,Industry,List_date,EPS_2018,EPS_2017,EPS_2016,EPS_2015,EPS_2014,EPS_2013,EPS_2012,EPS_2011,EPS_2010,EPS_2009,EPS_2008,EPS_2007,EPS_2006,Profit,AVG_EPS_2016_18,AVG_EPS_2011_13,Net_Asset,Div,Dividend,PE1618,Div_Rate,Growth,Liquidate_Ratio,Assest_Over_Debt,PB,Mkt_value,
000543.SZ,皖能电力,3.85,安徽,公用事业,1993/12/20,0.31,0.07,0.5,0.65,0.88,1.11,0.367,0.02,0.28,0.15,0.02,0.08,0,1,0.293333333,0.499,5.4719,是,1,13.125,14.16178197,-0.412157649,40.33%,1.12914969,0.703594729,10608920389,
000544.SZ,中原环保,6.59,河南,公用事业,1993/12/8,0.43,0.5,0.5,0.38,0.25,0.22,0.38,0.3,0.2737,0.2179,0.2409,0.1972,0,1,0.476666667,0.3,5.9362,是,1,13.82517483,58.81195171,0.588888889,256.44%,-11.65501889,1.110137799,5789625859,
000545.SZ,金浦钛业,2.63,吉林,化工,1993/12/15,0.103,0.17,0.12,0.13,0.13,0.36,0.02,-0.0351,-0.3,-0.1,0.02,0.12,0,1,0.131,0.114966667,2.0806,-,0,20.07633588,0,0.139460713,196.89%,-8.146080626,1.264058445,2891420971,
000546.SZ,金圆股份,8.35,吉林,建筑材料,1993/12/15,0.5245,0.5532,0.5133,0.4415,0.3012,0.1216,0.0295,0.1159,0.0132,0.1093,-0.123,0.0621,0,1,0.530333333,0.089,5.1622,是,1,15.74481458,9.538277364,4.958801498,102.63%,1.454057396,1.617527411,7496619714,
000547.SZ,航天发展,14.98,福建,国防军工,1993/11/30,0.31,0.19,0.17,0.23,0.23,0.17,0.14,0.19,0.1,0.28,0.12,0.07,0,1,0.223333333,0.166666667,4.3879,-,0,67.07462687,0,0.34,228.59%,-2.23275741,3.413933772,15173665425,
000548.SZ,湖南投资,3.68,湖南,交通运输,1993/12/20,0.08,0.26,0.12,0.04,0.04,0.02,0.06,0.11,0.17,0.21,0.074,0.39,0,1,0.153333333,0.063333333,3.3286,是,1,24,24.81046649,1.421052632,211.89%,-2.550218569,1.105569909,1981886770,
000550.SZ,江铃汽车,12.07,江西,汽车,1993/12/1,0.11,0.8,1.53,2.57,2.44,1.97,1.76,2.17,1.98,1.22,0.91,0.88,0,1,0.813333333,1.966666667,12.03,是,1,14.84016393,2215.530073,-0.586440678,133.86%,-0.995288085,1.003325021,12283535220,
000551.SZ,创元科技,7.08,江苏,机械设备,1994/1/6,0.22,0.17,0.12,0.06,0.08,0.1,0.01,0.14,0.26,0.36,0.2,0.27,0,1,0.17,0.083333333,4.0476,-,0,41.64705882,0,1.04,139.70%,-19.86646239,1.749184702,2444491275,
000552.SZ,靖远煤电,2.23,甘肃,采掘,1994/1/6,0.2505,0.2415,0.0969,0.1623,0.4618,0.596,1.2446,0.4,0.32,0.3,0.51,0.25,0,1,0.1963,0.746866667,3.1916,是,1,11.36016302,39.92723929,-0.737168616,176.51%,-2.662789225,0.698709111,5763167046,
000553.SZ,沙隆达Ａ,9.83,湖北,化工,1993/12/3,0,0,-0.1254,0.2388,0.828,0.5402,0.1747,0.089,0.0401,0.0325,0.291,0.05,0,0,-0.0418,0.267966667,9.1067,是,1,10000,9.878020858,-1.155989551,206.55%,2.316548657,1.079425039,24074087247,
000554.SZ,泰山石油,5.12,山东,化工,1993/12/15,0.0039,0.006,0.009,0.0078,0.0141,0.0253,0.0492,0.0192,0.015,0.0173,0.3,0.15,0,1,0.0063,0.031233333,1.8728,-,0,812.6984127,0,-0.798292423,89.11%,-10.20661685,2.733874413,2259728604,
000555.SZ,神州信息,15.51,广东,计算机,1994/4/8,0.0437,0.3141,0.2637,0.382,0.6482,0.8,-0.092,0.007,0.04,-0.088,0.002,0.04,0,1,0.207166667,0.238333333,5.1338,是,1,74.86725664,80.1023821,-0.130769231,134.26%,8.171979149,3.021153921,11761021029,
000557.SZ,西部创业,2.77,宁夏,交通运输,1994/6/17,0.1,0.06,0.006,-0.0254,0.0017,0.005,0.533,-0.336,-0.133,0.269,-0.392,0.03,0,0,0.055333333,0.067333333,3.3797,-,0,50.06024096,0,-0.178217822,95.69%,8.369868045,0.819599373,4856387868,
000558.SZ,莱茵体育,2.6,浙江,房地产,1994/5/9,-0.05,0.0221,0.03,-0.42,0.06,0.11,0.0998,0.1,0.4561,0.35,0.282,0.4547,0,0,0.0007,0.103266667,0.9816,-,0,3714.285714,0,-0.993221433,125.18%,1.895158298,2.648736756,4215762313,
000559.SZ,万向钱潮,5.13,浙江,汽车,1994/1/10,0.262,0.32,0.363,0.34,0.37,0.333,0.211,0.292,0.367,0.259,0.215,0.257,0,1,0.315,0.278666667,1.8937,是,1,16.28571429,76.20189736,0.130382775,132.13%,7.419349978,2.708982415,13986050026,
000560.SZ,我爱我家,3.27,云南,房地产,1994/2/2,0.2714,0.0623,0.0676,0.0333,0.4151,0.4464,0.6285,0.5041,0.2118,0.2929,0.2747,0.5575,0,1,0.133766667,0.526333333,3.9933,是,1,24.44555196,25.7437232,-0.745851805,109.30%,-174.3807986,0.81887161,10317093727,
