Code,Name,Close,Location,Industry,List_date,EPS_2018,EPS_2017,EPS_2016,EPS_2015,EPS_2014,EPS_2013,EPS_2012,EPS_2011,EPS_2010,EPS_2009,EPS_2008,EPS_2007,EPS_2006,Profit,AVG_EPS_2016_18,AVG_EPS_2011_13,Net_Asset,Div,Dividend,PE1618,Div_Rate,Growth,Liquidate_Ratio,Assest_Over_Debt,PB,Mkt_value,市值>500亿,PE<15,流动比例>2,Y6,市净率<1.5,上市超过6年,PB<1.5的沪深300,PE*PB<22.5
000012.SZ,南  玻Ａ,4.68,广东,建筑材料,1992-02-28,0.16,0.35,0.38,0.3,0.42,0.74,0.13,0.57,0.7,0.68,0.35,0.41,0,1,0.296666667,0.48,3.1793,是,1,15.7752809,31.19034632,-0.381944444,66.20%,1.740067972,1.472022143,13582817232,0,0,0,1,1,1,1,0
000014.SZ,沙河股份,8.44,广东,房地产,1992-06-02,0.7238,0.0378,0.1418,0.2626,0.3013,0.1426,0.1386,0.2692,0.35,0.3977,0.216,0.014,0,1,0.301133333,0.183466667,4.3866,是,1,28.02745185,9.118153591,0.641351744,212.43%,-25.00666121,1.924041399,1762903334,0,0,1,1,0,1,0,0
000016.SZ,深康佳Ａ,7.58,广东,家用电器,1992-03-27,0.1708,2.1001,0.0397,-0.52,0.0437,0.0375,0.0381,0.0207,0.0697,0.1255,0.2083,0.348,0,0,0.7702,0.0321,3.3658,是,1,9.841599585,58.54620591,22.99376947,125.68%,1.62573527,2.252064888,9704019994,0,1,0,1,0,1,0,1
000017.SZ,深中华Ａ,2.77,广东,汽车,1992-03-31,-0.0029,0.003,0.0047,-0.0003,0.0089,2.857,-0.0951,0.072,0.1169,-0.2206,-0.0936,0.1314,0,0,0.0016,0.944633333,0.0259,-,0,1731.25,0,-0.998306221,121.06%,-0.661215562,106.9498069,2348742254,0,0,0,1,0,1,0,0
000018.SZ,神州长城,0,广东,建筑装饰,1992-06-16,-1.004,0.22,0.28,1.5,0.0254,0.0486,0,-0.1,0.02,0.07,-0.15,-0.69,0,0,-0.168,-0.017133333,0.1385,-,0,10000,0,8.805447471,124.24%,0.381206741,0,832140055.4,0,0,0,1,1,1,1,1
000019.SZ,深深宝Ａ,9.25,广东,商业贸易,1992-10-12,0.2675,-0.1089,0.2139,-0.1171,0.0443,0.174,0.297,0.0323,0.031,-0.07,0.07,0.24,0,0,0.124166667,0.167766667,3.6203,是,1,74.4966443,37.37980069,-0.259884761,566.89%,-3.056697984,2.555036875,6742331236,0,0,1,1,0,1,0,0
000020.SZ,深华发Ａ,9.11,广东,电子,1992-04-28,0.0116,0.0034,0.0193,-0.0238,0.0271,-0.023,0.0115,0.0385,0.0324,0.0147,0.0267,0.0913,0,0,0.011433333,0.009,1.1441,-,0,796.7930029,0,0.27037037,112.65%,2.336206336,7.962590683,2896739352,0,0,0,1,0,1,0,0
000021.SZ,深 科 技,20.77,广东,电子,1994-02-02,0.3603,0.3679,0.1457,0.1228,0.1332,0.171,0.0709,0.1906,0.2913,0.29,0.3598,0.8064,0,1,0.2913,0.144166667,4.2725,是,1,71.30106419,27.75577628,1.020578035,107.81%,3.433551179,4.861322411,14079952104,0,0,0,1,0,1,0,0
000023.SZ,深天地Ａ,15.92,广东,建筑材料,1993-04-29,0.1897,0.2198,0.0717,0.1926,0.1243,0.1083,0.0373,0.0668,0.0948,0.177,0.1536,0.1453,0,1,0.1604,0.0708,3.1105,是,1,99.25187032,31.63077967,1.265536723,118.54%,2.847357528,5.118148208,1692826128,0,0,0,1,0,1,0,0
000025.SZ,特  力Ａ,18.01,广东,汽车,1993-06-21,0.2924,0.2249,0.0915,0.1538,0.047,0.0313,0.0324,0.0098,0.0163,0.0286,0.02,0.05,0,1,0.202933333,0.0245,3.5327,是,1,88.74835742,0,7.282993197,131.46%,-298.5216149,5.098083619,8578060568,0,0,0,1,0,1,0,0
